fpl_id,understat_id,gameweek,kickoff_date,completed,home_team,away_team,home_score,away_score,home_proj_score,away_proj_score,home_xG,away_xG
1,16376,1.0,2021-08-13,1,Brentford,Arsenal,2.0,0.0,0.96,1.61,1.41,1.21
2,16378,1.0,2021-08-14,1,Burnley,Brighton,1.0,2.0,1.19,1.31,1.95,1.77
3,16379,1.0,2021-08-14,1,Chelsea,Crystal Palace,3.0,0.0,2.23,0.55,1.08,0.36
4,16380,1.0,2021-08-14,1,Everton,Southampton,3.0,1.0,1.56,1.08,2.38,0.62
5,16381,1.0,2021-08-14,1,Leicester,Wolves,1.0,0.0,1.65,0.95,0.65,1.31
6,16377,1.0,2021-08-14,1,Man Utd,Leeds,5.0,1.0,2.06,0.94,1.42,0.66
7,16383,1.0,2021-08-14,1,Norwich,Liverpool,0.0,3.0,0.84,2.2,1.15,2.06
8,16382,1.0,2021-08-14,1,Watford,Aston Villa,3.0,2.0,1.19,1.45,1.17,1.21
9,16384,1.0,2021-08-15,1,Newcastle,West Ham,2.0,4.0,1.41,1.5,1.71,3.53
10,16385,1.0,2021-08-15,1,Spurs,Man City,1.0,0.0,1.21,2.01,1.22,2.16
11,16388,2.0,2021-08-21,1,Aston Villa,Newcastle,2.0,0.0,1.75,1.24,1.31,0.77
12,16391,2.0,2021-08-21,1,Brighton,Watford,2.0,0.0,1.59,0.84,1.68,0.48
13,16389,2.0,2021-08-21,1,Crystal Palace,Brentford,0.0,0.0,1.33,1.12,0.6,0.85
14,16390,2.0,2021-08-21,1,Leeds,Everton,2.0,2.0,1.45,1.3,1.15,1.94
15,16386,2.0,2021-08-21,1,Liverpool,Burnley,2.0,0.0,2.48,0.69,3.1,0.79
16,16387,2.0,2021-08-21,1,Man City,Norwich,5.0,0.0,2.59,0.46,2.37,0.03
17,16393,2.0,2021-08-22,1,Wolves,Spurs,0.0,1.0,1.19,1.55,1.68,1.78
18,16394,2.0,2021-08-22,1,Arsenal,Chelsea,0.0,2.0,1.1,1.45,0.63,3.3
19,16392,2.0,2021-08-22,1,Southampton,Man Utd,1.0,1.0,1.02,2.01,0.69,2.21
20,16395,2.0,2021-08-23,1,West Ham,Leicester,4.0,1.0,1.53,1.43,2.48,0.83
21,16399,3.0,2021-08-28,1,Aston Villa,Brentford,1.0,1.0,1.59,0.99,0.47,1.01
22,16400,3.0,2021-08-28,1,Brighton,Everton,0.0,2.0,1.37,1.1,0.79,1.41
23,16402,3.0,2021-08-28,1,Liverpool,Chelsea,1.0,1.0,1.5,1.31,2.75,0.65
24,16396,3.0,2021-08-28,1,Man City,Arsenal,5.0,0.0,2.13,0.74,4.02,0.17
25,16397,3.0,2021-08-28,1,Newcastle,Southampton,2.0,2.0,1.53,1.31,1.21,3.62
26,16398,3.0,2021-08-28,1,Norwich,Leicester,1.0,2.0,1.08,1.55,1.61,1.39
27,16404,3.0,2021-08-29,1,Spurs,Watford,1.0,0.0,2.04,0.82,1.1,0.66
28,16401,3.0,2021-08-28,1,West Ham,Crystal Palace,2.0,2.0,1.88,0.94,1.39,1.79
29,16403,3.0,2021-08-29,1,Burnley,Leeds,1.0,1.0,1.39,1.46,1.7,1.34
30,16405,3.0,2021-08-29,1,Wolves,Man Utd,0.0,1.0,0.97,1.69,1.89,0.84
31,16407,4.0,2021-09-11,1,Arsenal,Norwich,1.0,0.0,1.73,0.83,2.66,0.61
32,16408,4.0,2021-09-11,1,Brentford,Brighton,0.0,1.0,1.11,1.2,0.77,0.21
33,16413,4.0,2021-09-11,1,Chelsea,Aston Villa,3.0,0.0,2.09,0.69,1.25,1.25
34,16406,4.0,2021-09-11,1,Crystal Palace,Spurs,3.0,0.0,1.08,1.74,3.3,0.08
35,16415,4.0,2021-09-13,1,Everton,Burnley,3.0,1.0,1.69,0.96,1.66,1.92
36,16414,4.0,2021-09-12,1,Leeds,Liverpool,0.0,3.0,1.07,2.14,0.76,4.81
37,16409,4.0,2021-09-11,1,Leicester,Man City,0.0,1.0,0.94,2.14,0.84,3.14
38,16410,4.0,2021-09-11,1,Man Utd,Newcastle,4.0,1.0,2.31,0.81,2.73,0.56
39,16411,4.0,2021-09-11,1,Southampton,West Ham,0.0,0.0,1.44,1.67,0.7,0.83
40,16412,4.0,2021-09-11,1,Watford,Wolves,0.0,2.0,1.05,1.24,0.29,2.73
41,16422,5.0,2021-09-18,1,Aston Villa,Everton,3.0,0.0,1.4,1.34,0.85,0.98
42,16423,5.0,2021-09-19,1,Brighton,Leicester,2.0,1.0,1.34,1.16,1.47,1.47
43,16419,5.0,2021-09-18,1,Burnley,Arsenal,0.0,1.0,1.22,1.52,1.05,0.96
44,16420,5.0,2021-09-18,1,Liverpool,Crystal Palace,3.0,0.0,2.49,0.64,3.34,0.66
45,16421,5.0,2021-09-18,1,Man City,Southampton,0.0,0.0,2.74,0.53,1.32,0.44
46,16416,5.0,2021-09-17,1,Newcastle,Leeds,1.0,1.0,1.5,1.54,1.38,1.6
47,16418,5.0,2021-09-18,1,Norwich,Watford,1.0,3.0,1.27,1.04,0.82,2.69
48,16425,5.0,2021-09-19,1,Spurs,Chelsea,0.0,3.0,1.16,1.65,0.96,2.51
49,16424,5.0,2021-09-19,1,West Ham,Man Utd,1.0,2.0,1.3,1.67,1.76,2.47
50,16417,5.0,2021-09-18,1,Wolves,Brentford,0.0,2.0,1.37,0.82,1.21,2.04
51,16434,6.0,2021-09-26,1,Arsenal,Spurs,3.0,1.0,1.54,1.3,1.48,1.52
52,16432,6.0,2021-09-25,1,Brentford,Liverpool,3.0,3.0,0.8,2.17,3.08,2.83
53,16426,6.0,2021-09-25,1,Chelsea,Man City,0.0,1.0,1.26,1.46,0.21,1.95
54,16435,6.0,2021-09-27,1,Crystal Palace,Brighton,1.0,1.0,1.14,1.24,1.42,0.99
