fpl_id,understat_id,fpl_name,position,team_name
1,181.0,Bernd Leno,G,Arsenal
2,,Rúnar Alex Rúnarsson,G,Arsenal
3,,Willian Borges Da Silva,M,Arsenal
4,318.0,Pierre-Emerick Aubameyang,F,Arsenal
5,847.0,Cédric Soares,D,Arsenal
6,3277.0,Alexandre Lacazette,F,Arsenal
7,204.0,Granit Xhaka,M,Arsenal
8,8380.0,Pablo Marí,D,Arsenal
9,,Héctor Bellerín,D,Arsenal
10,508.0,Calum Chambers,D,Aston Villa
11,342.0,Sead Kolasinac,D,Arsenal
12,496.0,Mohamed Naser El Sayed Elneny,M,Arsenal
13,1750.0,Ainsley Maitland-Niles,M,Arsenal
14,1749.0,Rob Holding,D,Arsenal
15,2328.0,Thomas Partey,M,Arsenal
16,8089.0,Kieran Tierney,D,Arsenal
17,5656.0,Nicolas Pépé,M,Arsenal
18,,Lucas Torreira,M,Arsenal
19,6630.0,Joseph Willock,M,Newcastle
20,6482.0,Edward Nketiah,F,Arsenal
21,7230.0,Emile Smith Rowe,M,Arsenal
22,7322.0,Bukayo Saka,M,Arsenal
23,5613.0,Gabriel Magalhães,D,Arsenal
24,,Konstantinos Mavropanos,D,Arsenal
25,,Mattéo Guendouzi,M,Arsenal
26,7752.0,Gabriel Teodoro Martinelli Silva,M,Arsenal
27,,William Saliba,D,Arsenal
28,4475.0,Jed Steer,G,Aston Villa
29,,Conor Hourihane,M,Aston Villa
30,4401.0,Emiliano Martínez,G,Aston Villa
31,,Björn Engels,D,Aston Villa
32,695.0,Bertrand Traoré,M,Aston Villa
33,675.0,Jack Grealish,M,Man City
34,3696.0,Morgan Sanson,M,Aston Villa
35,7723.0,John McGinn,M,Aston Villa
36,6859.0,Kortney Hause,D,Aston Villa
37,7722.0,Mahmoud Ahmed Ibrahim Hassan,M,Aston Villa
38,1024.0,Tyrone Mings,D,Aston Villa
39,884.0,Matt Targett,D,Newcastle
40,8865.0,Ollie Watkins,F,Aston Villa
41,8040.0,Marvelous Nakamba,M,Aston Villa
42,5612.0,Anwar El Ghazi,M,Everton
43,2203.0,Emiliano Buendía Stati,M,Aston Villa
44,8864.0,Matthew Cash,D,Aston Villa
45,7726.0,Ezri Konsa Ngoyo,D,Aston Villa
46,,Frédéric Guilbert,D,Aston Villa
47,7724.0,Wesley Moraes,F,Aston Villa
48,,Mbwana Ally Samatta,F,Aston Villa
49,1053.0,Keinan Davis,F,Aston Villa
50,6122.0,Douglas Luiz Soares de Paulo,M,Aston Villa
51,8941.0,Jacob Ramsey,M,Aston Villa
52,631.0,Ashley Young,D,Aston Villa
53,486.0,Adam Lallana,M,Brighton
54,7235.0,Jason Steele,G,Brighton
55,239.0,Pascal Groß,M,Brighton
56,6047.0,Shane Duffy,D,Brighton
57,,Davy Pröpper,M,Brighton
58,7382.0,Dan Burn,D,Newcastle
59,6048.0,Lewis Dunk,D,Brighton
60,6049.0,Solomon March,M,Brighton
61,7699.0,Adam Webster,D,Brighton
62,8780.0,Joël Veltman,D,Brighton
63,3621.0,Neal Maupay,F,Brighton
64,7698.0,Leandro Trossard,M,Brighton
65,,Mathew Ryan,G,Brighton
66,,Alireza Jahanbakhsh,M,Brighton
67,7298.0,Ben White,D,Arsenal
68,,Bernardo Fernandes Da Silva Junior,D,Brighton
69,9098.0,Robert Sánchez,G,Brighton
70,5609.0,Yves Bissouma,M,Brighton
71,8226.0,Tariq Lamptey,D,Brighton
72,7991.0,Aaron Connolly,F,Brighton
73,8020.0,Steven Alzate,M,Brighton
74,8379.0,Alexis Mac Allister,M,Brighton
75,9284.0,Jakub Moder,M,Brighton
76,1801.0,Pontus Jansson,D,Brentford
77,7083.0,Christian Nørgaard,M,Brentford
78,998.0,Ivan Toney,F,Brentford
79,10092.0,Tariqe Fosu-Henry,M,Brentford
80,9676.0,David Raya Martin,G,Brentford
81,1078.0,Sergi Canós,M,Brentford
82,10405.0,Pelenda Joshua Dasilva,M,Brentford
83,9679.0,Rico Henry,D,Brentford
84,9680.0,Vitaly Janelt,M,Brentford
85,7069.0,Saman Ghoddos,M,Brentford
86,7166.0,Mathias Jensen,M,Brentford
87,9687.0,Charlie Goode,D,Brentford
88,9684.0,Marcus Forss,F,Brentford
89,9685.0,Mads Roerslev Rasmussen,D,Brentford
90,9683.0,Mads Bech Sørensen,D,Brentford
91,9678.0,Ethan Pinnock,D,Brentford
92,,Ellery Balcombe,G,Brentford
93,,Jan Zamburek,M,Brentford
94,,Patrik Gunnarsson,G,Brentford
95,,Halil Dervişoğlu,F,Brentford
96,6552.0,Bryan Mbeumo,M,Brentford
97,9682.0,Mads Bidstrup,M,Brentford
98,1665.0,James Tarkowski,D,Burnley
99,,Phil Bardsley,D,Burnley
100,887.0,Erik Pieters,D,Burnley
101,712.0,Jack Cork,M,Burnley
102,6051.0,Dale Stephens,M,Burnley
103,1747.0,Kevin Long,D,Burnley
104,844.0,Jay Rodriguez,F,Burnley
105,4422.0,Ashley Barnes,F,Burnley
106,1654.0,Ben Mee,D,Burnley
107,669.0,Ashley Westwood,M,Burnley
108,1663.0,Johann Berg Gudmundsson,M,Burnley
109,4456.0,Chris Wood,F,Newcastle
110,1652.0,Matthew Lowton,D,Burnley
111,1017.0,Matej Vydra,F,Burnley
112,5552.0,Nick Pope,G,Burnley
113,6044.0,Charlie Taylor,D,Burnley
114,,Will Norris,G,Burnley
115,8323.0,Josh Brownhill,M,Burnley
116,,Josh Benson,M,Burnley
117,,Bailey Peacock-Farrell,G,Burnley
118,6756.0,Dwight McNeil,M,Burnley
119,681.0,César Azpilicueta,D,Chelsea
120,,Olivier Giroud,F,Chelsea
121,3288.0,Thiago Emiliano da Silva,D,Chelsea
122,1621.0,Marcos Alonso,D,Chelsea
123,1389.0,Jorge Luiz Frello Filho,M,Chelsea
124,592.0,Ross Barkley,M,Chelsea
125,2254.0,Mateo Kovacic,M,Chelsea
126,,Michy Batshuayi,F,Chelsea
127,1822.0,Antonio Rüdiger,D,Chelsea
128,935.0,Kurt Zouma,D,West Ham
129,5061.0,Kepa Arrizabalaga,G,Chelsea
130,751.0,N'Golo Kanté,M,Chelsea
131,8992.0,Hakim Ziyech,M,Chelsea
132,688.0,Ruben Loftus-Cheek,M,Chelsea
133,200.0,Andreas Christensen,D,Chelsea
134,65.0,Timo Werner,F,Chelsea
135,782.0,Benjamin Chilwell,D,Chelsea
136,,Tammy Abraham,F,Chelsea
137,2662.0,Christian Pulisic,M,Chelsea
138,7768.0,Mason Mount,M,Chelsea
139,,Ethan Ampadu,D,Chelsea
140,6456.0,Callum Hudson-Odoi,M,Chelsea
141,5220.0,Kai Havertz,M,Chelsea
142,8067.0,Reece James,D,Chelsea
143,6880.0,Edouard Mendy,G,Chelsea
144,9040.0,Conor Gallagher,M,Crystal Palace
145,7988.0,Billy Gilmour,M,Norwich
146,2190.0,Vicente Guaita,G,Crystal Palace
147,530.0,James Tomkins,D,Crystal Palace
148,633.0,James McArthur,M,Crystal Palace
149,606.0,Christian Benteke,F,Crystal Palace
150,532.0,Cheikhou Kouyaté,D,Crystal Palace
151,,Martin Kelly,D,Crystal Palace
152,5549.0,Luka Milivojevic,M,Crystal Palace
153,672.0,Jordan Ayew,F,Crystal Palace
154,522.0,Wilfried Zaha,M,Crystal Palace
155,757.0,Jeffrey Schlupp,M,Crystal Palace
156,856.0,Jack Butland,G,Crystal Palace
157,6027.0,Jairo Riedewald,M,Crystal Palace
158,,Jarosław Jach,D,Crystal Palace
159,5735.0,Jean-Philippe Mateta,F,Crystal Palace
160,8706.0,Eberechi Eze,M,Crystal Palace
161,6451.0,Nathan Ferguson,D,Crystal Palace
162,8214.0,Tyrick Mitchell,D,Crystal Palace
163,876.0,Fabian Delph,M,Everton
164,,Gylfi Sigurdsson,M,Everton
165,585.0,Seamus Coleman,D,Everton
166,,James Rodríguez,M,Everton
167,,Bernard Anício Caldeira Duarte,M,Everton
168,1823.0,Lucas Digne,D,Aston Villa
169,1653.0,Michael Keane,D,Everton
170,741.0,Jordan Pickford,G,Everton
171,1379.0,Allan Marques Loureiro,M,Everton
172,2383.0,André Filipe Tavares Gomes,M,Everton
173,1726.0,Abdoulaye Doucouré,M,Everton
174,500.0,Alex Iwobi,M,Everton
175,6521.0,Yerry Mina,D,Everton
176,1042.0,Tom Davies,M,Everton
177,5555.0,Dominic Calvert-Lewin,F,Everton
178,985.0,Mason Holgate,D,Everton
179,7689.0,Ben Godfrey,D,Everton
180,6026.0,Richarlison de Andrade,F,Everton
181,,João Virgínia,G,Everton
182,,Pablo Hernández Domínguez,M,Leeds
183,,Francisco Casilla Cortés,G,Leeds
