player_id,player_name,position,fixture_id,gameweek,kickoff_date,team,opponent,completed,npxG,xA,goals_scored,assists,bonus,clean_sheets,goals_conceded,minutes,total_points,avg_team_xG,avg_team_xGA,avg_opponent_xG,avg_opponent_xGA,proj_score,opponent_proj_score,goal_xP,assist_xP,cs_xP,bonus_xP,concede_xP,xP,avg_npxG,avg_xA,avg_bonus,avg_minutes
13,Ainsley Maitland-Niles,M,1,1,2021-08-13,Arsenal,Brentford,1,,,0,0,0,0,0,0,0,,,,,1.61,0.96,,,,,,,,,,
478,Albert Sambi Lokonga,M,1,1,2021-08-13,Arsenal,Brentford,1,0.028,0.033,0,0,0,0,0,90,2,,,,,1.61,0.96,,,,,,,,,,
6,Alexandre Lacazette,F,1,1,2021-08-13,Arsenal,Brentford,1,,,0,0,0,0,0,0,0,,,,,1.61,0.96,,,,,,,,,,
67,Ben White,D,1,1,2021-08-13,Arsenal,Brentford,1,0.0,0.0,0,0,0,0,2,90,1,,,,,1.61,0.96,,,,,,,,,,
1,Bernd Leno,G,1,1,2021-08-13,Arsenal,Brentford,1,0.0,0.0,0,0,0,0,2,90,1,,,,,1.61,0.96,,,,,,,,,,
96,Bryan Mbeumo,M,1,1,2021-08-13,Brentford,Arsenal,1,0.199,0.073,0,0,0,1,0,85,3,,,,,0.96,1.61,,,,,,,,,,
22,Bukayo Saka,M,1,1,2021-08-13,Arsenal,Brentford,1,0.0,0.045,0,0,0,0,0,31,1,,,,,1.61,0.96,,,,,,,,,,
5,Cédric Soares,D,1,1,2021-08-13,Arsenal,Brentford,1,,,0,0,0,0,0,0,0,,,,,1.61,0.96,,,,,,,,,,
87,Charlie Goode,D,1,1,2021-08-13,Brentford,Arsenal,1,,,0,0,0,0,0,0,0,,,,,0.96,1.61,,,,,,,,,,
77,Christian Nørgaard,M,1,1,2021-08-13,Brentford,Arsenal,1,1.445,0.0,1,0,0,1,0,90,8,,,,,0.96,1.61,,,,,,,,,,
80,David Raya Martin,G,1,1,2021-08-13,Brentford,Arsenal,1,0.0,0.0,0,0,1,1,0,90,8,,,,,0.96,1.61,,,,,,,,,,
498,Dominic Thompson,D,1,1,2021-08-13,Brentford,Arsenal,1,,,0,0,0,0,0,0,0,,,,,0.96,1.61,,,,,,,,,,
