fixture_id,gw,date,home_team,home_score,away_score,away_team,home_xg,away_xg
10,1,2021-08-15,Spurs,1,0,Man City,1.06,2.106
9,1,2021-08-15,Newcastle,2,4,West Ham,1.679,3.009
7,1,2021-08-14,Norwich,0,3,Liverpool,1.333,1.787
8,1,2021-08-14,Watford,3,2,Aston Villa,1.35,1.137
5,1,2021-08-14,Leicester,1,0,Wolves,0.668,1.327
4,1,2021-08-14,Everton,3,1,Southampton,2.389,0.581
3,1,2021-08-14,Chelsea,3,0,Crystal Palace,1.187,0.322
2,1,2021-08-14,Burnley,1,2,Brighton,1.795,1.685
6,1,2021-08-14,Man Utd,5,1,Leeds,1.642,0.568
1,1,2021-08-13,Brentford,2,0,Arsenal,1.888,1.024
20,2,2021-08-23,West Ham,4,1,Leicester,2.286,0.627
18,2,2021-08-22,Arsenal,0,2,Chelsea,0.63,3.641
17,2,2021-08-22,Wolves,0,1,Spurs,1.511,1.726
19,2,2021-08-22,Southampton,1,1,Man Utd,0.588,2.262
12,2,2021-08-21,Brighton,2,0,Watford,1.779,0.407
16,2,2021-08-21,Man City,5,0,Norwich,2.439,0.025
14,2,2021-08-21,Leeds,2,2,Everton,0.966,1.857
13,2,2021-08-21,Crystal Palace,0,0,Brentford,0.606,0.712
11,2,2021-08-21,Aston Villa,2,0,Newcastle,1.184,0.632
15,2,2021-08-21,Liverpool,2,0,Burnley,2.639,0.69
30,3,2021-08-29,Wolves,0,1,Man Utd,1.796,0.944
27,3,2021-08-29,Spurs,1,0,Watford,0.921,0.596
29,3,2021-08-29,Burnley,1,1,Leeds,1.711,1.521
23,3,2021-08-28,Liverpool,1,1,Chelsea,2.085,0.574
28,3,2021-08-28,West Ham,2,2,Crystal Palace,1.447,1.677
26,3,2021-08-28,Norwich,1,2,Leicester,1.441,1.274
25,3,2021-08-28,Newcastle,2,2,Southampton,1.191,3.46
22,3,2021-08-28,Brighton,0,2,Everton,0.702,1.549
21,3,2021-08-28,Aston Villa,1,1,Brentford,0.431,1.133
24,3,2021-08-28,Man City,5,0,Arsenal,4.473,0.117
35,4,2021-09-13,Everton,3,1,Burnley,1.804,1.821
36,4,2021-09-12,Leeds,0,3,Liverpool,0.653,4.402
33,4,2021-09-11,Chelsea,3,0,Aston Villa,1.222,1.173
40,4,2021-09-11,Watford,0,2,Wolves,0.185,2.559
