gw,date,name,position,minutes,bonus,points,npxG,xA,team,opponent
1.0,2021-08-13,Pelenda Joshua Dasilva,M,0,0.0,0.0,,,Brentford,Arsenal
1.0,2021-08-13,Dominic Thompson,D,0,0.0,0.0,,,Brentford,Arsenal
1.0,2021-08-13,Nuno Varela Tavares,D,9,0.0,1.0,0.014,0.0,Arsenal,Brentford
1.0,2021-08-13,Folarin Balogun,F,58,0.0,1.0,0.157,0.0,Arsenal,Brentford
1.0,2021-08-13,Albert Sambi Lokonga,M,90,0.0,2.0,0.028,0.033,Arsenal,Brentford
1.0,2021-08-13,Charlie Goode,D,0,0.0,0.0,,,Brentford,Arsenal
1.0,2021-08-13,Marcus Forss,F,4,0.0,1.0,0.0,0.0,Brentford,Arsenal
1.0,2021-08-13,Mads Bech Sørensen,D,19,0.0,1.0,0.0,0.0,Brentford,Arsenal
1.0,2021-08-13,Mads Bidstrup,M,10,0.0,1.0,0.0,0.0,Brentford,Arsenal
1.0,2021-08-13,Frank Onyeka,M,79,0.0,3.0,0.053,0.066,Brentford,Arsenal
1.0,2021-08-13,Kristoffer Ajer,D,70,0.0,6.0,0.0,0.081,Brentford,Arsenal
1.0,2021-08-13,David Raya Martin,G,90,1.0,8.0,0.0,0.0,Brentford,Arsenal
1.0,2021-08-13,Pablo Marí,D,90,0.0,1.0,0.032,0.0,Arsenal,Brentford
1.0,2021-08-13,Ben White,D,90,0.0,1.0,0.0,0.0,Arsenal,Brentford
1.0,2021-08-13,Mathias Jensen,M,0,0.0,0.0,,,Brentford,Arsenal
1.0,2021-08-13,Reiss Nelson,M,19,0.0,1.0,0.037,0.061,Arsenal,Brentford
1.0,2021-08-13,Edward Nketiah,F,0,0.0,0.0,,,Arsenal,Brentford
1.0,2021-08-13,Ainsley Maitland-Niles,M,0,0.0,0.0,,,Arsenal,Brentford
1.0,2021-08-13,Rob Holding,D,0,0.0,0.0,,,Arsenal,Brentford
1.0,2021-08-13,Cédric Soares,D,0,0.0,0.0,,,Arsenal,Brentford
1.0,2021-08-13,Mohamed Naser El Sayed Elneny,M,0,0.0,0.0,,,Arsenal,Brentford
1.0,2021-08-13,Sead Kolasinac,D,0,0.0,0.0,,,Arsenal,Brentford
1.0,2021-08-13,Granit Xhaka,M,90,0.0,2.0,0.074,0.036,Arsenal,Brentford
1.0,2021-08-13,Bernd Leno,G,90,0.0,1.0,0.0,0.0,Arsenal,Brentford
1.0,2021-08-13,Shandon Baptiste,M,0,0.0,0.0,,,Brentford,Arsenal
1.0,2021-08-13,Mads Roerslev Rasmussen,D,0,0.0,0.0,,,Brentford,Arsenal
1.0,2021-08-13,Ethan Pinnock,D,90,2.0,11.0,0.0,0.052,Brentford,Arsenal
1.0,2021-08-13,Kieran Tierney,D,90,0.0,1.0,0.153,0.273,Arsenal,Brentford
1.0,2021-08-13,Saman Ghoddos,M,0,0.0,0.0,,,Brentford,Arsenal
1.0,2021-08-13,Nicolas Pépé,M,90,0.0,2.0,0.212,0.156,Arsenal,Brentford
1.0,2021-08-13,Pontus Jansson,D,90,0.0,6.0,0.0,0.0,Brentford,Arsenal
1.0,2021-08-13,Calum Chambers,D,80,0.0,1.0,0.062,0.056,Arsenal,Brentford
1.0,2021-08-13,Vitaly Janelt,M,90,0.0,3.0,0.0,0.0,Brentford,Arsenal
1.0,2021-08-13,Rico Henry,D,90,0.0,6.0,0.0,0.0,Brentford,Arsenal
1.0,2021-08-13,Christian Nørgaard,M,90,0.0,8.0,1.445,0.0,Brentford,Arsenal
1.0,2021-08-13,Thomas Partey,M,0,0.0,0.0,,,Arsenal,Brentford
1.0,2021-08-13,Sergi Canós,M,90,3.0,11.0,0.19,0.559,Brentford,Arsenal
1.0,2021-08-13,Bryan Mbeumo,M,85,0.0,3.0,0.199,0.073,Brentford,Arsenal
1.0,2021-08-13,Yoane Wissa,M,0,0.0,0.0,,,Brentford,Arsenal
1.0,2021-08-13,Gabriel Magalhães,D,0,0.0,0.0,,,Arsenal,Brentford
1.0,2021-08-13,Alexandre Lacazette,F,0,0.0,0.0,,,Arsenal,Brentford
1.0,2021-08-13,Pierre-Emerick Aubameyang,F,0,0.0,0.0,,,Arsenal,Brentford
1.0,2021-08-13,Gabriel Teodoro Martinelli Silva,M,70,0.0,2.0,0.121,0.076,Arsenal,Brentford
1.0,2021-08-13,Bukayo Saka,M,31,0.0,1.0,0.0,0.045,Arsenal,Brentford
1.0,2021-08-13,Emile Smith Rowe,M,90,0.0,2.0,0.133,0.123,Arsenal,Brentford
1.0,2021-08-13,Ivan Toney,F,90,0.0,2.0,0.0,0.118,Brentford,Arsenal
1.0,2021-08-14,Przemyslaw Placheta,M,0,0.0,0.0,,,Norwich,Liverpool
1.0,2021-08-14,Jacob Sørensen,D,0,0.0,0.0,,,Norwich,Liverpool
1.0,2021-08-14,Bali Mumba,D,0,0.0,0.0,,,Norwich,Liverpool
1.0,2021-08-14,Christos Tzolis,M,0,0.0,0.0,,,Norwich,Liverpool
1.0,2021-08-14,Dimitris Giannoulis,D,90,0.0,1.0,0.0,0.038,Norwich,Liverpool
1.0,2021-08-14,Konstantinos Tsimikas,D,90,0.0,6.0,0.159,0.0,Liverpool,Norwich
1.0,2021-08-14,Neco Williams,D,0,0.0,0.0,,,Liverpool,Norwich
1.0,2021-08-14,Christoph Zimmermann,D,0,0.0,0.0,,,Norwich,Liverpool
