player_name,position,fixture_id,gameweek,kickoff_date,team,opponent,completed,minutes,npxG,xA,bonus,price,avg_team_xG,avg_team_xGA,avg_opponent_xG,avg_opponent_xGA,proj_score,opponent_proj_score,goal_xP,assist_xP,bonus_xP,cs_xP,concede_xP,minutes_xP,xP,goal_points,assist_points,bonus_points,cs_points,concede_points,minutes_points,total_points,avg_npxG,avg_xA,avg_bonus,avg_minutes
Bernd Leno,G,1,1,2021-08-13,Arsenal,Brentford,1,90,0.0,0.0,0,5.0,,,,,1.61,0.96,,,,1.532,,0.0,,0,0,0,0,-2,2,1,,,,
Ben White,D,1,1,2021-08-13,Arsenal,Brentford,1,90,0.0,0.0,0,4.5,,,,,1.61,0.96,,,,1.532,,0.0,,0,0,0,0,-2,2,1,,,,
Cédric Soares,D,1,1,2021-08-13,Arsenal,Brentford,1,0,,,0,4.5,,,,,1.61,0.96,,,,1.532,,0.0,,0,0,0,0,0,0,0,,,,
Nuno Varela Tavares,D,1,1,2021-08-13,Arsenal,Brentford,1,9,0.014,0.0,0,4.5,,,,,1.61,0.96,,,,1.532,,0.0,,0,0,0,0,0,1,1,,,,
Alexandre Lacazette,F,1,1,2021-08-13,Arsenal,Brentford,1,0,,,0,8.5,,,,,1.61,0.96,,,,0.0,,0.0,,0,0,0,0,0,0,0,,,,
Granit Xhaka,M,1,1,2021-08-13,Arsenal,Brentford,1,90,0.074,0.036,0,5.0,,,,,1.61,0.96,,,,0.383,,0.0,,0,0,0,0,0,2,2,,,,
Thomas Partey,M,1,1,2021-08-13,Arsenal,Brentford,1,0,,,0,5.0,,,,,1.61,0.96,,,,0.383,,0.0,,0,0,0,0,0,0,0,,,,
Sead Kolasinac,D,1,1,2021-08-13,Arsenal,Brentford,1,0,,,0,4.5,,,,,1.61,0.96,,,,1.532,,0.0,,0,0,0,0,0,0,0,,,,
Reiss Nelson,M,1,1,2021-08-13,Arsenal,Brentford,1,19,0.037,0.061,0,5.0,,,,,1.61,0.96,,,,0.383,,0.0,,0,0,0,0,0,1,1,,,,
Folarin Balogun,F,1,1,2021-08-13,Arsenal,Brentford,1,58,0.157,0.0,0,5.0,,,,,1.61,0.96,,,,0.0,,0.0,,0,0,0,0,0,1,1,,,,
Mohamed Naser El Sayed Elneny,M,1,1,2021-08-13,Arsenal,Brentford,1,0,,,0,4.5,,,,,1.61,0.96,,,,0.383,,0.0,,0,0,0,0,0,0,0,,,,
Yoane Wissa,M,1,1,2021-08-13,Brentford,Arsenal,1,0,,,0,6.0,,,,,0.96,1.61,,,,0.2,,0.0,,0,0,0,0,0,0,0,,,,
Ainsley Maitland-Niles,M,1,1,2021-08-13,Arsenal,Brentford,1,0,,,0,5.5,,,,,1.61,0.96,,,,0.383,,0.0,,0,0,0,0,0,0,0,,,,
Gabriel Teodoro Martinelli Silva,M,1,1,2021-08-13,Arsenal,Brentford,1,70,0.121,0.076,0,5.5,,,,,1.61,0.96,,,,0.383,,0.0,,0,0,0,0,0,2,2,,,,
Gabriel Magalhães,D,1,1,2021-08-13,Arsenal,Brentford,1,0,,,0,5.0,,,,,1.61,0.96,,,,1.532,,0.0,,0,0,0,0,0,0,0,,,,
Bukayo Saka,M,1,1,2021-08-13,Arsenal,Brentford,1,31,0.0,0.045,0,6.5,,,,,1.61,0.96,,,,0.383,,0.0,,0,0,0,0,0,1,1,,,,
Emile Smith Rowe,M,1,1,2021-08-13,Arsenal,Brentford,1,90,0.133,0.123,0,5.5,,,,,1.61,0.96,,,,0.383,,0.0,,0,0,0,0,0,2,2,,,,
Edward Nketiah,F,1,1,2021-08-13,Arsenal,Brentford,1,0,,,0,5.5,,,,,1.61,0.96,,,,0.0,,0.0,,0,0,0,0,0,0,0,,,,
Rob Holding,D,1,1,2021-08-13,Arsenal,Brentford,1,0,,,0,4.5,,,,,1.61,0.96,,,,1.532,,0.0,,0,0,0,0,0,0,0,,,,
Nicolas Pépé,M,1,1,2021-08-13,Arsenal,Brentford,1,90,0.212,0.156,0,7.5,,,,,1.61,0.96,,,,0.383,,0.0,,0,0,0,0,0,2,2,,,,
Kieran Tierney,D,1,1,2021-08-13,Arsenal,Brentford,1,90,0.153,0.273,0,5.0,,,,,1.61,0.96,,,,1.532,,0.0,,0,0,0,0,-2,2,1,,,,
Shandon Baptiste,M,1,1,2021-08-13,Brentford,Arsenal,1,0,,,0,5.0,,,,,0.96,1.61,,,,0.2,,0.0,,0,0,0,0,0,0,0,,,,
Pierre-Emerick Aubameyang,F,1,1,2021-08-13,Arsenal,Brentford,1,0,,,0,10.0,,,,,1.61,0.96,,,,0.0,,0.0,,0,0,0,0,0,0,0,,,,
Mads Bidstrup,M,1,1,2021-08-13,Brentford,Arsenal,1,10,0.0,0.0,0,4.5,,,,,0.96,1.61,,,,0.2,,0.0,,0,0,0,0,0,1,1,,,,
Pablo Marí,D,1,1,2021-08-13,Arsenal,Brentford,1,90,0.032,0.0,0,4.5,,,,,1.61,0.96,,,,1.532,,0.0,,0,0,0,0,-2,2,1,,,,
